Coordinates,:LABEL,nid:ID
"-8349.17024919735,-8139.486616037496,-3697.065508836987",IfcCartesianPoint,475
"-9168.428399644046,-8162.239830920421,-3909.001810942849",IfcCartesianPoint,476
"-8197.917532921145,-9054.721570465548,-4015.348808500033",IfcCartesianPoint,477
"4679.855399633807,-8065.621578951471,-3789.098448704009",IfcCartesianPoint,478
"3476.55009128938,-8051.396878962379,-3567.205790259034",IfcCartesianPoint,479
"-7719.366367222274,-7222.364729920522,-3177.907290289738",IfcCartesianPoint,480
"-6743.421263378357,-8101.964419402356,-3395.874704730593",IfcCartesianPoint,481
"-4945.722954215979,1597.182688587908,-1054.534895161913",IfcCartesianPoint,482
"-8019.390363548662,-5491.327129445333,-2730.129854598825",IfcCartesianPoint,483
"-8774.12739528664,5538.581879493458,-4528.68902337153",IfcCartesianPoint,484
"-9475.929030652067,-3941.836339906653,-3760.6016228319",IfcCartesianPoint,485
"-1748.439431487845,-844.6975153169633,-583.5726891935046",IfcCartesianPoint,486
"-9304.04972791902,-3649.356737723665,-3529.398869466521",IfcCartesianPoint,487
"-3036.032410245012,-9005.201563904477,-4025.68860273317",IfcCartesianPoint,488
"-4232.935266560236,-8691.881541332745,-3689.667525137286",IfcCartesianPoint,489
"-4371.519220936439,-9013.8804749404,-3977.07724061991",IfcCartesianPoint,490
"-3940.035963435818,-8057.259528662528,-3151.163947232433",IfcCartesianPoint,491
"-8245.089184836477,-3818.617627234685,-2536.822773493553",IfcCartesianPoint,492
"-6359.033128115301,3383.759920831767,-1697.734222134101",IfcCartesianPoint,493
"-3227.706650408984,866.5684431573777,-727.7275229047063",IfcCartesianPoint,494
"-3386.686394006672,-7125.540846141204,-2442.686294260136",IfcCartesianPoint,495
"-8404.494238248948,-2074.384496041615,-2522.001628779831",IfcCartesianPoint,496
"-9581.251737856053,-267.9345789007698,-4242.93047190535",IfcCartesianPoint,497
"-2035.890616756905,-7111.924242024111,-2389.303700853798",IfcCartesianPoint,498
"1344.430480042875,-2683.142705579285,-555.7374259045218",IfcCartesianPoint,499
"-131.7144991312254,-8997.000051250212,-4219.318377566803",IfcCartesianPoint,500
"-8479.38929297335,-427.4975902965958,-2629.75889190248",IfcCartesianPoint,501
"1365.071358651736,-2683.206356411234,-555.1085539973383",IfcCartesianPoint,502
"-149.0256832739075,-7103.916313122372,-2399.269418669502",IfcCartesianPoint,503
"1347.403004284579,-2583.462548053313,-538.8175357189211",IfcCartesianPoint,504
"-9564.564977022905,1806.668712796523,-4659.699868760747",IfcCartesianPoint,505
"2131.630442036243,-9000.980376142787,-4447.549040919544",IfcCartesianPoint,506
"1368.08855055347,-2583.525236542888,-538.150919148201",IfcCartesianPoint,507
"-8447.987805163093,2109.28741556544,-2952.781852653154",IfcCartesianPoint,508
"2403.484393739203,-7113.012363606759,-2569.546459589215",IfcCartesianPoint,509
"3809.813472825939,-6223.697218271101,-2080.234530507395",IfcCartesianPoint,510
"-8289.127154240932,4186.021752255536,-3348.861259718726",IfcCartesianPoint,511
"-7439.876718238962,5474.575899647046,-2993.421373276831",IfcCartesianPoint,512
"5188.94968823573,-9020.525505225442,-4882.528877572192",IfcCartesianPoint,513
"6183.155653852669,-8089.954762922123,-4164.559987547344",IfcCartesianPoint,514
"2614.503289180721,-5317.959500534483,-1415.074950889731",IfcCartesianPoint,515
"4069.234850452696,-4460.864560936423,-1155.094827901917",IfcCartesianPoint,516
"-3221.207436551955,1702.496480407018,-739.5068267254919",IfcCartesianPoint,517
"-9348.948970825539,6229.88181668995,-5697.979310232995",IfcCartesianPoint,518
"-8541.571174354602,7274.076068432937,-5075.451005770532",IfcCartesianPoint,519
"5644.133930196975,-7161.333673340435,-3195.066753695136",IfcCartesianPoint,520
"5073.94773459046,-6248.081601541952,-2340.181241364578",IfcCartesianPoint,521
"6587.550501621132,-6290.614874473034,-2847.214945215884",IfcCartesianPoint,522
"2773.24631158482,-3565.999340573753,-748.6378767432099",IfcCartesianPoint,523
"-7377.308254934467,5851.514231169816,-3105.224613948073",IfcCartesianPoint,524
"4255.672710404642,-2722.783226519827,-609.3209366441852",IfcCartesianPoint,525
"4264.144841005476,-2623.52673171114,-586.5846660070792",IfcCartesianPoint,526
"-7954.416156537078,6564.445584233517,-4028.716962985404",IfcCartesianPoint,527
"-7030.415951531964,7537.592044801763,-3774.967887941203",IfcCartesianPoint,528
"-9189.523760514,8095.524703232139,-6173.187658643952",IfcCartesianPoint,529
"-4850.886092364196,3546.302201004868,-1180.260130997912",IfcCartesianPoint,530
"-8459.821113874197,7786.173783349774,-5264.869063064396",IfcCartesianPoint,531
"-8308.374210041686,8646.46810350651,-5620.064106313057",IfcCartesianPoint,532
"-9069.603541377797,9270.78757574365,-6486.495585128141",IfcCartesianPoint,533
"-1764.695113364225,920.4011843290782,-547.7980097614045",IfcCartesianPoint,534
"8700.185486257476,-8148.381418127337,-5114.772448653201",IfcCartesianPoint,535
"8061.359810781374,-8131.3450124563,-4829.256216822538",IfcCartesianPoint,536
"8923.11663032816,-9064.900389353463,-5674.877688684961",IfcCartesianPoint,537
"9022.274134093052,-8157.564665817878,-5271.52714458454",IfcCartesianPoint,538
"-7314.959992867774,9375.591383890602,-5466.92077709124",IfcCartesianPoint,539
"-6682.567883771097,8812.828920009664,-4558.415879653578",IfcCartesianPoint,540
"9139.654523185805,-6984.555118369788,-4797.608816081867",IfcCartesianPoint,541
"8351.796269521772,-6364.279454359258,-3861.818856624916",IfcCartesianPoint,542
"7285.424859070728,-8112.705418216599,-4524.91610609586",IfcCartesianPoint,543
"9557.140472315017,-7294.871158790587,-5258.772193693139",IfcCartesianPoint,544
"-4369.332004766896,9513.19854843737,-4250.084615700224",IfcCartesianPoint,545
"-1760.997815476261,1762.946773984434,-550.410227495302",IfcCartesianPoint,546
"-6066.329365510796,5699.079936654454,-2133.814106145752",IfcCartesianPoint,547
"9700.838269573975,-3917.321614763726,-4411.873688193544",IfcCartesianPoint,548
"-608.9590431463612,7591.200177345038,-1373.015144219532",IfcCartesianPoint,549
"1386.347461430338,-812.5907085640747,-336.3141328247193",IfcCartesianPoint,550
"-159.8664969277952,7343.929619473493,-1200.705365213298",IfcCartesianPoint,551
"1407.61822000712,-812.6321683373851,-335.0823694758537",IfcCartesianPoint,552
"302.8149173872599,7087.614017306822,-1048.595476958142",IfcCartesianPoint,553
"-1791.013676873763,9592.413529245869,-3692.893366421125",IfcCartesianPoint,554
"2154.407709069787,7092.125731667175,-1022.107220335981",IfcCartesianPoint,555
"5380.720041752516,-4494.81647208719,-1397.635049543925",IfcCartesianPoint,556
"-143.0347877202532,8860.176875905123,-2378.646856716266",IfcCartesianPoint,557
"-6000.169098359464,6074.176153445856,-2243.362252642707",IfcCartesianPoint,558
"4893.487117192838,4899.255426712098,-536.9542019453668",IfcCartesianPoint,559
"2568.80432655222,7350.026158685313,-1182.948808417248",IfcCartesianPoint,560
"-3153.607358227913,3674.663178190641,-822.5898182841229",IfcCartesianPoint,561
"-130.3739152480709,9620.14410986342,-3585.196064426256",IfcCartesianPoint,562
"6634.086124577982,4319.648373054008,-896.9752470056964",IfcCartesianPoint,563
"2968.389503349871,7597.968939708897,-1379.872919381033",IfcCartesianPoint,564
"6335.097279826126,4747.471051170987,-894.8884455365646",IfcCartesianPoint,565
"6027.401256058291,5170.025115685325,-915.6075510965024",IfcCartesianPoint,566
"4527.869889311237,7251.608293281572,-1461.295944226856",IfcCartesianPoint,567
"-6908.473538339633,8020.526129545566,-4035.721781261937",IfcCartesianPoint,568
"7589.086532472429,4530.998172079164,-1544.962781857584",IfcCartesianPoint,569
"7641.623700281547,-6330.948621699324,-3383.548426120399",IfcCartesianPoint,570
"2119.049190319808,9622.25107029794,-3762.605571094528",IfcCartesianPoint,571
"-4591.82582889743,5876.115168018911,-1555.641880148403",IfcCartesianPoint,572
"5929.184768118654,7106.70024804742,-1908.472094740389",IfcCartesianPoint,573
"9711.300618802925,3799.369345074737,-4383.144904155465",IfcCartesianPoint,574
"1399.314128943759,967.0781893004116,-257.1947873799718",IfcCartesianPoint,575
"3829.368222152295,9591.515206158807,-4158.948467611554",IfcCartesianPoint,576
"8828.651890962212,6485.645616229329,-4110.413759986515",IfcCartesianPoint,577
"1420.779735619022,967.062556696673,-255.6514159483704",IfcCartesianPoint,578
"6472.865344379056,9481.113577480768,-5241.014627129291",IfcCartesianPoint,579
"8381.703785747313,9351.272106116408,-6385.870828924774",IfcCartesianPoint,580
"-9036.107820814677,-9529.985669034322,-4166.895338169856",IfcCartesianPoint,581
"-7347.575582025397,-9359.218562764385,-4156.317042159924",IfcCartesianPoint,582
"-4533.270051934584,6249.803131654132,-1659.998287672429",IfcCartesianPoint,583
"-9624.002641958772,-7298.752000497112,-4000.067268506961",IfcCartesianPoint,584
"6902.342567972857,-4555.809923323212,-1940.754880761671",IfcCartesianPoint,585
"-6922.056855235443,-9515.491651721186,-4269.470591340161",IfcCartesianPoint,586
"5601.187502695937,-2767.864076384398,-811.5826679146462",IfcCartesianPoint,587
"7894.998683055961,-9521.790408284196,-5763.770496889139",IfcCartesianPoint,588
"9455.584768300621,-9072.915672135241,-5815.126478778981",IfcCartesianPoint,589
"9178.485768461673,-4279.634300155475,-3671.174320172543",IfcCartesianPoint,590
"9324.186666145462,-4734.884809124759,-4048.885312215638",IfcCartesianPoint,591
"9830.788277424033,-5157.486856833348,-4966.4118258198",IfcCartesianPoint,592
"1665.05070196256,9121.39161957012,-2763.352590121962",IfcCartesianPoint,593
"-5633.363102914756,7725.179932584078,-2956.576388666666",IfcCartesianPoint,594
"2298.339699981307,8927.959099742553,-2568.543751393123",IfcCartesianPoint,595
"1396.364905848974,1816.707234439386,-248.7929245163959",IfcCartesianPoint,596
"2848.685249762852,9101.638365668776,-2930.661906698969",IfcCartesianPoint,597
"9193.937550469213,4599.933100552915,-3582.190226894245",IfcCartesianPoint,598
"-4420.487846568879,-9750.004218969363,-4685.26340386224",IfcCartesianPoint,599
"9146.720495151541,-6154.348584532127,-4427.543257864358",IfcCartesianPoint,600
"9150.412543745544,-5744.418092692188,-4248.728152406255",IfcCartesianPoint,601
"-2968.948210307458,6016.492972034615,-1153.513944167115",IfcCartesianPoint,602
"8559.110619038636,4091.224461996679,-2363.287912683371",IfcCartesianPoint,603
"8427.824164342102,4596.528776992746,-2409.765097789719",IfcCartesianPoint,604
"-5579.362920587285,-8904.648253624367,-3864.470620068953",IfcCartesianPoint,605
"7128.573573749509,-2851.411287848629,-1342.516293814027",IfcCartesianPoint,606
"-6504.798248984203,-7752.65941243589,-3159.954967936473",IfcCartesianPoint,607
"-6386.181640174596,-7578.878770790151,-3041.738447776917",IfcCartesianPoint,608
"-5706.918054471344,-7128.426072280232,-2675.298772020768",IfcCartesianPoint,609
"0.0,0.0",IfcCartesianPoint,2336
"250.0,0.0",IfcCartesianPoint,2337
"250.0,200.0",IfcCartesianPoint,2338
"500.0,200.0",IfcCartesianPoint,2339
"500.0,400.0",IfcCartesianPoint,2340
"0.0,400.0",IfcCartesianPoint,2341
"0.0,0.0,0.0",IfcCartesianPoint,2345
"5050.0,1000.0,0.0",IfcCartesianPoint,2352
"-500.0,-500.0",IfcCartesianPoint,2360
"500.0,-500.0",IfcCartesianPoint,2361
"500.0,500.0",IfcCartesianPoint,2362
"-500.0,500.0",IfcCartesianPoint,2363
"0.0,0.0,0.0",IfcCartesianPoint,2367
"4820.0,1600.0,0.0",IfcCartesianPoint,2374
"4800.0,1600.0,0.0",IfcCartesianPoint,2381
"460.0,0.0,0.0",IfcCartesianPoint,2386
"-40.0,-40.0",IfcCartesianPoint,2390
"40.0,-40.0",IfcCartesianPoint,2391
"40.0,40.0",IfcCartesianPoint,2392
"-40.0,40.0",IfcCartesianPoint,2393
"-460.0,0.0,0.0",IfcCartesianPoint,2400
"-40.0,-40.0",IfcCartesianPoint,2402
"40.0,-40.0",IfcCartesianPoint,2403
"40.0,40.0",IfcCartesianPoint,2404
"-40.0,40.0",IfcCartesianPoint,2405
"0.0,0.0,2120.0",IfcCartesianPoint,2412
"-500.0,-40.0",IfcCartesianPoint,2414
"500.0,-40.0",IfcCartesianPoint,2415
"500.0,40.0",IfcCartesianPoint,2416
"-500.0,40.0",IfcCartesianPoint,2417
"-430.0,-15.0",IfcCartesianPoint,2422
"430.0,-15.0",IfcCartesianPoint,2423
"430.0,15.0",IfcCartesianPoint,2424
"-430.0,15.0",IfcCartesianPoint,2425
"0.0,0.0,0.0",IfcCartesianPoint,2429
"-930.0,-45.0",IfcCartesianPoint,2447
"930.0,-45.0",IfcCartesianPoint,2448
"930.0,45.0",IfcCartesianPoint,2449
"-930.0,45.0",IfcCartesianPoint,2450
"0.0,0.0,0.0",IfcCartesianPoint,2454
"-45.0,-45.0",IfcCartesianPoint,2459
"45.0,-45.0",IfcCartesianPoint,2460
"45.0,45.0",IfcCartesianPoint,2461
"-45.0,45.0",IfcCartesianPoint,2462
"0.0,0.0,0.0",IfcCartesianPoint,2466
"-4900.0,-45.0,400.0",IfcCartesianPoint,2479
"-3130.0,-45.0,400.0",IfcCartesianPoint,2484
"-1360.0,-45.0,400.0",IfcCartesianPoint,2489
"2070.0,-45.0,400.0",IfcCartesianPoint,2494
"-4810.0,-45.0,400.0",IfcCartesianPoint,2499
"930.0,45.0,0.0",IfcCartesianPoint,2506
"930.0,45.0,1510.0",IfcCartesianPoint,2511
"45.0,45.0,90.0",IfcCartesianPoint,2516
"1815.0,45.0,90.0",IfcCartesianPoint,2521
"0.0,0.0,0.0",IfcCartesianPoint,2526
"0.0,0.0,0.0",IfcCartesianPoint,2529
"0.0,0.0,0.0",IfcCartesianPoint,2535
"0.0,0.0,0.0",IfcCartesianPoint,2543
"0.0,0.0,0.0",IfcCartesianPoint,2546
"0.0,0.0,0.0",IfcCartesianPoint,2552
"-840.0,-5.0",IfcCartesianPoint,2560
"840.0,-5.0",IfcCartesianPoint,2561
"840.0,5.0",IfcCartesianPoint,2562
"-840.0,5.0",IfcCartesianPoint,2563
"0.0,0.0,0.0",IfcCartesianPoint,2567
"930.0,45.0,90.0",IfcCartesianPoint,2574
"930.0,45.0,0.0",IfcCartesianPoint,2588
"930.0,45.0,1510.0",IfcCartesianPoint,2593
"45.0,45.0,90.0",IfcCartesianPoint,2598
"1815.0,45.0,90.0",IfcCartesianPoint,2603
"0.0,0.0,0.0",IfcCartesianPoint,2606
"0.0,0.0,0.0",IfcCartesianPoint,2612
"0.0,0.0,0.0",IfcCartesianPoint,2618
"0.0,0.0,0.0",IfcCartesianPoint,2624
"-840.0,-5.0",IfcCartesianPoint,2632
"840.0,-5.0",IfcCartesianPoint,2633
"840.0,5.0",IfcCartesianPoint,2634
"-840.0,5.0",IfcCartesianPoint,2635
"0.0,0.0,0.0",IfcCartesianPoint,2639
"930.0,45.0,90.0",IfcCartesianPoint,2646
"930.0,45.0,0.0",IfcCartesianPoint,2660
"930.0,45.0,1510.0",IfcCartesianPoint,2665
"45.0,45.0,90.0",IfcCartesianPoint,2670
"1815.0,45.0,90.0",IfcCartesianPoint,2675
"0.0,0.0,0.0",IfcCartesianPoint,2678
"0.0,0.0,0.0",IfcCartesianPoint,2684
"0.0,0.0,0.0",IfcCartesianPoint,2690
"0.0,0.0,0.0",IfcCartesianPoint,2696
"-840.0,-5.0",IfcCartesianPoint,2704
"840.0,-5.0",IfcCartesianPoint,2705
"840.0,5.0",IfcCartesianPoint,2706
"-840.0,5.0",IfcCartesianPoint,2707
"0.0,0.0,0.0",IfcCartesianPoint,2711
"930.0,45.0,90.0",IfcCartesianPoint,2718
"930.0,45.0,0.0",IfcCartesianPoint,2732
"930.0,45.0,1510.0",IfcCartesianPoint,2737
"45.0,45.0,90.0",IfcCartesianPoint,2742
"1815.0,45.0,90.0",IfcCartesianPoint,2747
"0.0,0.0,0.0",IfcCartesianPoint,2750
"0.0,0.0,0.0",IfcCartesianPoint,2756
"0.0,0.0,0.0",IfcCartesianPoint,2762
"0.0,0.0,0.0",IfcCartesianPoint,2768
"-840.0,-5.0",IfcCartesianPoint,2776
"840.0,-5.0",IfcCartesianPoint,2777
"840.0,5.0",IfcCartesianPoint,2778
"-840.0,5.0",IfcCartesianPoint,2779
"0.0,0.0,0.0",IfcCartesianPoint,2783
"930.0,45.0,90.0",IfcCartesianPoint,2790
"930.0,45.0,0.0",IfcCartesianPoint,2804
"930.0,45.0,1510.0",IfcCartesianPoint,2809
"45.0,45.0,90.0",IfcCartesianPoint,2814
"1815.0,45.0,90.0",IfcCartesianPoint,2819
"0.0,0.0,0.0",IfcCartesianPoint,2822
"0.0,0.0,0.0",IfcCartesianPoint,2828
"0.0,0.0,0.0",IfcCartesianPoint,2834
"0.0,0.0,0.0",IfcCartesianPoint,2840
"-840.0,-5.0",IfcCartesianPoint,2848
"840.0,-5.0",IfcCartesianPoint,2849
"840.0,5.0",IfcCartesianPoint,2850
"-840.0,5.0",IfcCartesianPoint,2851
"0.0,0.0,0.0",IfcCartesianPoint,2855
"930.0,45.0,90.0",IfcCartesianPoint,2862
