DirectionRatios,nid:ID,:LABEL
"1.0,0.0,0.0",13,IfcDirection
"0.0,0.0,1.0",14,IfcDirection
"1.0,0.0,0.0",20,IfcDirection
"0.0,0.0,1.0",21,IfcDirection
"1.0,0.0,0.0",27,IfcDirection
"0.0,0.0,1.0",28,IfcDirection
"0.0,1.0",36,IfcDirection
"1.0,0.0,0.0",37,IfcDirection
"0.0,0.0,1.0",38,IfcDirection
"0.0,1.0",42,IfcDirection
"1.0,0.0,0.0",43,IfcDirection
"0.0,0.0,1.0",44,IfcDirection
"0.0,0.0,1.0",55,IfcDirection
"1.0,0.0,0.0",56,IfcDirection
"0.0,0.0,1.0",57,IfcDirection
"1.0,0.0,0.0",66,IfcDirection
"0.0,0.0,1.0",67,IfcDirection
"0.0,0.0,1.0",85,IfcDirection
"1.0,0.0,0.0",86,IfcDirection
"0.0,0.0,1.0",87,IfcDirection
"1.0,0.0,0.0",93,IfcDirection
"0.0,0.0,1.0",94,IfcDirection
"0.0,0.0,1.0",109,IfcDirection
"1.0,0.0,0.0",110,IfcDirection
"0.0,0.0,1.0",111,IfcDirection
"1.0,0.0,0.0",117,IfcDirection
"0.0,0.0,1.0",118,IfcDirection
"0.0,0.0,1.0",130,IfcDirection
"1.0,0.0,0.0",131,IfcDirection
"0.0,0.0,1.0",132,IfcDirection
"1.0,0.0,0.0",138,IfcDirection
"0.0,0.0,1.0",139,IfcDirection
"1.0,0.0,0.0",145,IfcDirection
"0.0,0.0,1.0",146,IfcDirection
"0.0,-0.7071067811865476,0.7071067811865476",151,IfcDirection
"1.0,0.0,0.0",152,IfcDirection
"0.0,1.0,0.0",153,IfcDirection
"1.0,0.0,0.0",163,IfcDirection
"0.0,0.0,1.0",164,IfcDirection
"1.0,0.0,0.0",173,IfcDirection
"0.0,0.0,1.0",174,IfcDirection
"-1.0,0.0,0.0",183,IfcDirection
"0.0,0.0,1.0",184,IfcDirection
"0.0,0.0,1.0",205,IfcDirection
"1.0,0.0,0.0",206,IfcDirection
"0.0,0.0,1.0",207,IfcDirection
"1.0,0.0,0.0",216,IfcDirection
"0.0,0.0,1.0",217,IfcDirection
"0.0,0.0,1.0",230,IfcDirection
"1.0,0.0,0.0",231,IfcDirection
"0.0,0.0,1.0",232,IfcDirection
"1.0,0.0,0.0",238,IfcDirection
"-1.0,0.0,1.0",239,IfcDirection
"1.0,0.0,0.0",245,IfcDirection
"1.0,0.0,1.0",246,IfcDirection
"1.0,0.0,0.0",252,IfcDirection
"0.0,0.0,1.0",253,IfcDirection
"0.0,1.0,0.0",262,IfcDirection
"0.0,0.0,1.0",263,IfcDirection
"0.0,-1.0,0.0",275,IfcDirection
"0.0,0.0,1.0",276,IfcDirection
"0.0,0.0,1.0",296,IfcDirection
"1.0,0.0,0.0",297,IfcDirection
"0.0,0.0,1.0",298,IfcDirection
"0.0,1.0,0.0",304,IfcDirection
"0.0,0.0,1.0",305,IfcDirection
"0.0,0.0,1.0",2342,IfcDirection
"1.0,0.0,0.0",2343,IfcDirection
"0.0,0.0,1.0",2344,IfcDirection
"1.0,0.0,0.0",2350,IfcDirection
"0.0,1.0,0.0",2351,IfcDirection
"0.0,0.0,1.0",2364,IfcDirection
"1.0,0.0,0.0",2365,IfcDirection
"0.0,0.0,1.0",2366,IfcDirection
"1.0,0.0,0.0",2372,IfcDirection
"0.0,0.0,1.0",2373,IfcDirection
"0.0,1.0,0.0",2379,IfcDirection
"0.0,0.0,1.0",2380,IfcDirection
"1.0,0.0,0.0",2384,IfcDirection
"0.0,0.0,1.0",2385,IfcDirection
"0.0,0.0,1.0",2394,IfcDirection
"1.0,0.0,0.0",2398,IfcDirection
"0.0,0.0,1.0",2399,IfcDirection
"0.0,0.0,1.0",2406,IfcDirection
"1.0,0.0,0.0",2410,IfcDirection
"0.0,0.0,1.0",2411,IfcDirection
"0.0,0.0,1.0",2418,IfcDirection
"0.0,0.0,1.0",2426,IfcDirection
"1.0,0.0,0.0",2427,IfcDirection
"0.0,0.0,1.0",2428,IfcDirection
"0.0,0.0,1.0",2451,IfcDirection
"1.0,0.0,0.0",2452,IfcDirection
"0.0,0.0,1.0",2453,IfcDirection
"0.0,0.0,1.0",2463,IfcDirection
"1.0,0.0,0.0",2464,IfcDirection
"0.0,0.0,1.0",2465,IfcDirection
"1.0,0.0,0.0",2477,IfcDirection
"0.0,0.0,1.0",2478,IfcDirection
"1.0,0.0,0.0",2482,IfcDirection
"0.0,0.0,1.0",2483,IfcDirection
"1.0,0.0,0.0",2487,IfcDirection
"0.0,0.0,1.0",2488,IfcDirection
"1.0,0.0,0.0",2492,IfcDirection
"0.0,0.0,1.0",2493,IfcDirection
"0.0,1.0,0.0",2497,IfcDirection
"0.0,0.0,1.0",2498,IfcDirection
"1.0,0.0,0.0",2504,IfcDirection
"0.0,0.0,1.0",2505,IfcDirection
"1.0,0.0,0.0",2509,IfcDirection
"0.0,0.0,1.0",2510,IfcDirection
"1.0,0.0,0.0",2514,IfcDirection
"0.0,0.0,1.0",2515,IfcDirection
"1.0,0.0,0.0",2519,IfcDirection
"0.0,0.0,1.0",2520,IfcDirection
"1.0,0.0,0.0",2524,IfcDirection
"0.0,0.0,1.0",2525,IfcDirection
"1.0,0.0,0.0",2541,IfcDirection
"0.0,0.0,1.0",2542,IfcDirection
"0.0,0.0,1.0",2564,IfcDirection
"1.0,0.0,0.0",2565,IfcDirection
"0.0,0.0,1.0",2566,IfcDirection
"1.0,0.0,0.0",2572,IfcDirection
"0.0,0.0,1.0",2573,IfcDirection
"1.0,0.0,0.0",2586,IfcDirection
"0.0,0.0,1.0",2587,IfcDirection
"1.0,0.0,0.0",2591,IfcDirection
"0.0,0.0,1.0",2592,IfcDirection
"1.0,0.0,0.0",2596,IfcDirection
"0.0,0.0,1.0",2597,IfcDirection
"1.0,0.0,0.0",2601,IfcDirection
"0.0,0.0,1.0",2602,IfcDirection
"0.0,0.0,1.0",2636,IfcDirection
"1.0,0.0,0.0",2637,IfcDirection
"0.0,0.0,1.0",2638,IfcDirection
"1.0,0.0,0.0",2644,IfcDirection
"0.0,0.0,1.0",2645,IfcDirection
"1.0,0.0,0.0",2658,IfcDirection
"0.0,0.0,1.0",2659,IfcDirection
"1.0,0.0,0.0",2663,IfcDirection
"0.0,0.0,1.0",2664,IfcDirection
"1.0,0.0,0.0",2668,IfcDirection
"0.0,0.0,1.0",2669,IfcDirection
"1.0,0.0,0.0",2673,IfcDirection
"0.0,0.0,1.0",2674,IfcDirection
"0.0,0.0,1.0",2708,IfcDirection
"1.0,0.0,0.0",2709,IfcDirection
"0.0,0.0,1.0",2710,IfcDirection
"1.0,0.0,0.0",2716,IfcDirection
"0.0,0.0,1.0",2717,IfcDirection
"1.0,0.0,0.0",2730,IfcDirection
"0.0,0.0,1.0",2731,IfcDirection
"1.0,0.0,0.0",2735,IfcDirection
"0.0,0.0,1.0",2736,IfcDirection
"1.0,0.0,0.0",2740,IfcDirection
"0.0,0.0,1.0",2741,IfcDirection
"1.0,0.0,0.0",2745,IfcDirection
"0.0,0.0,1.0",2746,IfcDirection
"0.0,0.0,1.0",2780,IfcDirection
"1.0,0.0,0.0",2781,IfcDirection
"0.0,0.0,1.0",2782,IfcDirection
"1.0,0.0,0.0",2788,IfcDirection
"0.0,0.0,1.0",2789,IfcDirection
"1.0,0.0,0.0",2802,IfcDirection
"0.0,0.0,1.0",2803,IfcDirection
"1.0,0.0,0.0",2807,IfcDirection
"0.0,0.0,1.0",2808,IfcDirection
"1.0,0.0,0.0",2812,IfcDirection
"0.0,0.0,1.0",2813,IfcDirection
"1.0,0.0,0.0",2817,IfcDirection
"0.0,0.0,1.0",2818,IfcDirection
"0.0,0.0,1.0",2852,IfcDirection
"1.0,0.0,0.0",2853,IfcDirection
"0.0,0.0,1.0",2854,IfcDirection
"1.0,0.0,0.0",2860,IfcDirection
"0.0,0.0,1.0",2861,IfcDirection
